Date,Total,0s,10s,20s,30s,40s,50s,60s,70s,80s
20-01-20,1,0,0,0,1,0,0,0,0,0
20-01-21,0,0,0,0,0,0,0,0,0,0
20-01-22,0,0,0,0,0,0,0,0,0,0
20-01-23,0,0,0,0,0,0,0,0,0,0
20-01-24,1,0,0,0,0,0,1,0,0,0
20-01-25,0,0,0,0,0,0,0,0,0,0
20-01-26,1,0,0,0,0,0,1,0,0,0
20-01-27,1,0,0,0,0,0,1,0,0,0
20-01-28,0,0,0,0,0,0,0,0,0,0
20-01-29,0,0,0,0,0,0,0,0,0,0
20-01-30,3,0,0,1,1,0,1,0,0,0
20-01-31,4,0,0,2,0,0,1,1,0,0
20-02-01,1,0,0,0,0,1,0,0,0,0
20-02-02,3,0,0,1,0,2,0,0,0,0
20-02-03,0,0,0,0,0,0,0,0,0,0
20-02-04,1,0,0,0,0,1,0,0,0,0
20-02-05,5,0,0,1,2,1,1,0,0,0
20-02-06,3,0,0,1,0,1,1,0,0,0
20-02-07,0,0,0,0,0,0,0,0,0,0
20-02-08,0,0,0,0,0,0,0,0,0,0
20-02-09,3,0,0,0,1,0,1,0,1,0
20-02-10,1,0,0,0,1,0,0,0,0,0
20-02-11,0,0,0,0,0,0,0,0,0,0
20-02-12,0,0,0,0,0,0,0,0,0,0
20-02-13,0,0,0,0,0,0,0,0,0,0
20-02-14,0,0,0,0,0,0,0,0,0,0
20-02-15,0,0,0,0,0,0,0,0,0,0
20-02-16,2,0,0,0,0,0,0,1,0,1
20-02-17,0,0,0,0,0,0,0,0,0,0
20-02-18,2,0,1,0,0,0,0,1,0,0
20-02-19,34,0,0,8,3,4,11,4,4,0
20-02-20,16,0,1,4,3,2,4,2,0,0
20-02-21,74,0,1,16,7,17,16,10,6,1
20-02-22,190,0,5,24,19,28,59,47,7,1
20-02-23,210,1,4,53,21,37,51,30,10,3
20-02-24,207,1,6,46,34,32,49,28,9,2
20-02-25,130,0,6,38,19,20,26,17,3,1
20-02-26,253,1,7,78,32,32,43,43,12,5
20-02-27,449,6,20,167,49,59,80,42,21,5
20-02-28,427,4,24,114,59,66,87,44,19,10
20-02-29,909,6,24,302,108,134,149,120,41,25
20-03-01,595,7,42,200,66,81,103,63,24,9
20-03-02,686,5,29,181,82,113,146,82,33,15
20-03-03,600,3,37,179,73,81,118,65,32,12
20-03-04,516,0,29,158,53,79,100,47,35,15
20-03-05,438,4,25,154,27,54,74,53,30,17
20-03-06,518,7,35,148,33,43,89,65,54,44
20-03-07,483,7,34,154,33,54,70,65,43,23
20-03-08,367,6,33,103,32,34,64,48,26,21
