Date,total_1,total_2,total_3,Pfizer_1,Pfizer_2,Pfizer_3,Moderna_1,Moderna_2,Moderna_3,Astra_1,Astra_2,Astra_3,Janssen_12,Janssen_3,Nova_1,Nova_2,Nova_3,Other_1,Other_2,Other_3
22-03-06,71,194,1675,50,187,1298,0,6,358,0,0,0,0,0,21,1,19,0,0,0
22-03-05,2289,5589,52373,1795,5384,35855,21,149,16077,0,0,0,0,1,473,56,440,0,0,0
22-03-04,3499,7705,104826,2217,7281,70968,61,286,32757,0,0,0,10,19,1211,128,1082,0,0,0
22-03-03,1996,4255,66443,990,3946,46703,33,190,18919,0,0,0,4,17,969,115,804,0,0,0
22-03-02,2211,4341,64893,1049,4132,46753,32,66,17267,0,0,0,6,31,1124,137,842,0,0,0
22-03-01,192,354,4822,126,346,3573,3,4,1177,0,0,0,0,2,63,4,70,0,0,0
22-02-28,5650,8308,144716,3744,7910,103036,83,171,40207,0,0,0,8,25,1815,219,1448,0,0,0
22-02-27,225,451,6086,161,432,4612,5,15,1419,0,0,0,0,2,59,4,53,0,0,0
22-02-26,4924,8467,119499,3746,8060,80494,39,257,38114,0,0,0,1,10,1138,149,881,0,0,0
22-02-25,8947,13908,227351,5866,13003,155177,103,501,69790,0,0,0,13,37,2965,391,2347,0,0,0
22-02-24,6290,10439,148027,3587,9824,105185,93,286,40977,0,0,0,9,52,2601,320,1813,0,0,0
22-02-23,5848,3674,109494,3165,3086,78860,99,288,29092,0,0,0,19,45,2564,279,1497,1,2,0
22-02-22,6357,3922,114364,3243,3282,80603,91,352,32212,0,0,1,6,28,3016,282,1518,1,0,2
22-02-21,8174,5571,161477,4111,4908,113032,82,348,46727,0,0,0,19,36,3962,296,1681,0,0,1
22-02-20,366,575,8180,240,553,5968,8,15,2179,0,0,0,0,0,118,7,31,0,0,2
22-02-19,6255,9512,135740,4215,9117,89806,67,291,45379,0,0,0,5,6,1968,97,544,0,2,5
22-02-18,11561,15309,248493,6103,14384,167961,91,570,79270,0,0,5,14,53,5353,340,1200,0,1,4
22-02-17,9208,10031,169509,3984,9395,119142,65,361,49311,0,0,2,11,65,5148,259,975,0,5,14
