Date,Total,M,F
20-01-20,1,0,1
20-01-21,0,0,0
20-01-22,0,0,0
20-01-23,0,0,0
20-01-24,1,1,0
20-01-25,0,0,0
20-01-26,1,1,0
20-01-27,1,1,0
20-01-28,0,0,0
20-01-29,0,0,0
20-01-30,3,3,0
20-01-31,4,1,3
20-02-01,1,1,0
20-02-02,3,2,1
20-02-03,0,0,0
20-02-04,1,0,1
20-02-05,5,2,3
20-02-06,3,2,1
20-02-07,0,0,0
20-02-08,0,0,0
20-02-09,3,1,2
20-02-10,1,0,1
20-02-11,0,0,0
20-02-12,0,0,0
20-02-13,0,0,0
20-02-14,0,0,0
20-02-15,0,0,0
20-02-16,2,1,1
20-02-17,0,0,0
20-02-18,2,0,2
20-02-19,34,13,21
20-02-20,16,5,11
20-02-21,74,34,40
20-02-22,190,95,95
20-02-23,210,69,141
20-02-24,207,69,138
20-02-25,130,43,87
20-02-26,253,94,159
20-02-27,449,176,273
20-02-28,427,156,271
20-02-29,909,324,585
20-03-01,595,236,359
20-03-02,686,262,424
20-03-03,600,219,381
20-03-04,516,186,330
20-03-05,438,153,285
20-03-06,518,197,321
20-03-07,483,176,307
20-03-08,367,172,195
20-03-09,248,103,145
20-03-10,131,53,78
20-03-11,242,95,147
20-03-12,114,47,67
20-03-13,110,50,60
20-03-14,107,57,50
20-03-15,76,35,41
20-03-16,74,33,41
20-03-17,84,31,53
20-03-18,93,40,53
20-03-19,152,57,95
20-03-20,87,33,54
20-03-21,147,57,90
20-03-22,98,43,55
20-03-23,64,27,37
20-03-24,76,40,36
20-03-25,100,53,47
20-03-26,104,48,56
20-03-27,91,40,51
20-03-28,146,98,48
20-03-29,105,63,42
20-03-30,78,35,43
20-03-31,125,71,54
20-04-01,101,41,60
20-04-02,89,34,55
20-04-03,86,34,52
20-04-04,94,39,55
20-04-05,81,46,35
20-04-06,47,21,26
20-04-07,47,18,29
20-04-08,53,25,28
20-04-09,39,22,17
20-04-10,27,15,12
20-04-11,30,15,15
20-04-12,32,14,18
20-04-13,25,14,11
20-04-14,27,13,14
20-04-15,27,10,17
20-04-16,22,6,16
20-04-17,22,14,8
20-04-18,18,7,11
20-04-19,8,4,4
20-04-20,13,5,8
20-04-21,9,6,3
20-04-22,11,6,5
20-04-23,8,4,4
20-04-24,6,5,1
20-04-25,10,4,6
20-04-26,10,6,4
20-04-27,10,4,6
20-04-28,14,7,7
20-04-29,9,4,5
20-04-30,4,4,0
20-05-01,9,4,5
20-05-02,6,6,0
20-05-03,13,7,6
20-05-04,8,6,2
20-05-05,3,2,1
20-05-06,2,2,0
20-05-07,4,3,1
20-05-08,12,7,5
20-05-09,18,17,1
20-05-10,34,24,10
20-05-11,35,31,4
20-05-12,27,20,7
20-05-13,26,18,8
20-05-14,29,17,12
20-05-15,27,17,10
20-05-16,19,11,8
20-05-17,13,5,8
20-05-18,15,11,4
20-05-19,13,10,3
20-05-20,32,23,9
20-05-21,12,9,3
20-05-22,20,15,5
20-05-23,23,12,11
20-05-24,25,15,10
20-05-25,16,8,8
20-05-26,19,13,6
20-05-27,40,16,24
20-05-28,79,48,31
20-05-29,58,31,27
20-05-30,39,21,18
20-05-31,27,15,12
20-06-01,35,12,23
20-06-02,38,23,15
20-06-03,49,23,26
20-06-04,39,19,20
20-06-05,39,21,18
20-06-06,51,27,24
20-06-07,57,30,27
20-06-08,37,12,25
20-06-09,38,18,20
20-06-10,50,22,28
20-06-11,45,28,17
20-06-12,56,31,25
20-06-13,48,19,29
20-06-14,34,16,18
20-06-15,37,20,17
20-06-16,34,22,12
20-06-17,43,18,25
20-06-18,59,25,34
20-06-19,49,25,24
20-06-20,67,39,28
20-06-21,48,25,23
20-06-22,17,9,8
20-06-23,46,35,11
20-06-24,51,31,20
20-06-25,28,16,12
20-06-26,39,23,16
20-06-27,51,28,23
20-06-28,62,38,24
20-06-29,42,20,22
20-06-30,42,25,17
20-07-01,51,29,22
20-07-02,54,31,23
20-07-03,61,31,30
20-07-04,63,38,25
20-07-05,61,31,30
20-07-06,48,26,22
20-07-07,44,22,22
20-07-08,62,35,27
20-07-09,50,28,22
20-07-10,45,36,9
20-07-11,35,22,13
20-07-12,44,32,12
20-07-13,62,39,23
20-07-14,33,16,17
20-07-15,39,33,6
20-07-16,61,47,14
20-07-17,60,35,25
20-07-18,39,23,16
20-07-19,34,21,13
20-07-20,26,19,7
20-07-21,45,25,20
20-07-22,63,39,24
20-07-23,59,38,21
20-07-24,41,23,18
20-07-25,113,96,17
20-07-26,58,49,9
20-07-27,25,13,12
20-07-28,28,22,6
20-07-29,48,32,16
20-07-30,18,13,5
20-07-31,36,24,12
20-08-01,31,23,8
20-08-02,30,21,9
20-08-03,23,15,8
20-08-04,34,23,11
20-08-05,33,23,10
20-08-06,43,34,9
20-08-07,20,12,8
20-08-08,43,23,20
20-08-09,36,17,19
20-08-10,28,14,14
20-08-11,34,20,14
20-08-12,54,34,20
20-08-13,56,31,25
20-08-14,103,51,52
20-08-15,166,70,96
20-08-16,279,102,177
20-08-17,197,75,122
20-08-18,246,90,156
20-08-19,297,108,189
20-08-20,288,134,154
20-08-21,324,148,176
20-08-22,332,145,187
20-08-23,396,157,239
20-08-24,266,118,148
20-08-25,280,137,143
20-08-26,320,145,175
20-08-27,441,207,234
20-08-28,371,175,196
20-08-29,323,141,182
20-08-30,299,154,145
20-08-31,248,114,134
20-09-01,235,114,121
20-09-02,267,133,134
20-09-03,195,87,108
20-09-04,198,94,104
20-09-05,168,82,86
20-09-06,167,79,88
20-09-07,119,66,53
20-09-08,136,73,63
20-09-09,156,76,80
20-09-10,155,76,79
20-09-11,176,77,99
20-09-12,136,81,55
20-09-13,121,63,58
20-09-14,109,51,58
20-09-15,106,48,58
20-09-16,113,67,46
20-09-17,153,74,79
20-09-18,126,57,69
20-09-19,110,45,65
20-09-20,82,48,34
20-09-21,70,36,34
20-09-22,61,37,24
20-09-23,110,59,51
20-09-24,125,65,60
20-09-25,114,54,60
20-09-26,61,25,36
20-09-27,95,42,53
20-09-28,50,26,24
20-09-29,38,27,11
20-09-30,113,77,36
20-10-01,77,42,35
20-10-02,63,38,25
20-10-03,75,47,28
20-10-04,64,40,24
20-10-05,73,47,26
20-10-06,75,49,26
20-10-07,114,53,61
20-10-08,69,39,30
20-10-09,54,28,26
20-10-10,72,40,32
20-10-11,58,34,24
20-10-12,98,56,42
20-10-13,91,53,38
20-10-14,84,51,33
20-10-15,110,32,78
20-10-16,47,21,26
20-10-17,73,26,47
20-10-18,91,48,43
20-10-19,76,36,40
20-10-20,58,38,20
20-10-21,89,47,42
20-10-22,121,60,61
20-10-23,155,73,82
